DossierId;Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Bestand_Vorm_Redactiegenre;Bestand_Formaat_Bestandsnaam;Bestand_Formaat_BestandsOmvang;Bestand_Formaat_BestandsFormaat;Bestand_Formaat_FysiekeIntegriteit_Algoritme
NL-0784-BV000001305;bouwen boerderij Rielsebaan 30 08-06-1937;Vrij te gebruiken;08-06-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002189.pdf;7970585;fmt/18;sha256
NL-0784-BV000001305;bouwen boerderij Rielsebaan 30 08-06-1937;Vrij te gebruiken;08-06-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000002190.pdf;2484427;fmt/18;sha256
NL-0784-BV000001317;verbouwen touwslagerij Dongenseweg 13 30-08-1937;Vrij te gebruiken;30-08-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002227.pdf;492339;fmt/18;sha256
NL-0784-BV000001317;verbouwen touwslagerij Dongenseweg 13 30-08-1937;Vrij te gebruiken;30-08-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002228.pdf;12288062;fmt/18;sha256
NL-0784-BV000001317;verbouwen touwslagerij Dongenseweg 13 30-08-1937;Vrij te gebruiken;30-08-1937;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000002229.pdf;2258838;fmt/18;sha256
NL-0784-BV000001388;bouwen van een kantoor / woning Vijf Eiken 8 23-03-1939;Vrij te gebruiken;23-03-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002451.pdf;500952;fmt/18;sha256
NL-0784-BV000001388;bouwen van een kantoor / woning Vijf Eiken 8 23-03-1939;Vrij te gebruiken;23-03-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002452.pdf;9893923;fmt/18;sha256
NL-0784-BV000001388;bouwen van een kantoor / woning Vijf Eiken 8 23-03-1939;Vrij te gebruiken;23-03-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002453.pdf;9853038;fmt/18;sha256
NL-0784-BV000001388;bouwen van een kantoor / woning Vijf Eiken 8 23-03-1939;Vrij te gebruiken;23-03-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000002454.pdf;2431275;fmt/18;sha256
NL-0784-BV000001405;bouwen graanloods en stal Hoogstraat 7 11-07-1939;Vrij te gebruiken;11-07-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002505.pdf;518242;fmt/18;sha256
NL-0784-BV000001405;bouwen graanloods en stal Hoogstraat 7 11-07-1939;Vrij te gebruiken;11-07-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002506.pdf;8244792;fmt/18;sha256
NL-0784-BV000001405;bouwen graanloods en stal Hoogstraat 7 11-07-1939;Vrij te gebruiken;11-07-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000002507.pdf;2234749;fmt/18;sha256
NL-0784-BV000001468;bouwen lijkenhuisje Kerkstraat 20 02-05-1941;Vrij te gebruiken;02-05-1941;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002715.pdf;876885;fmt/18;sha256
NL-0784-BV000001468;bouwen lijkenhuisje Kerkstraat 20 02-05-1941;Vrij te gebruiken;02-05-1941;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002716.pdf;1218875;fmt/18;sha256
NL-0784-BV000001468;bouwen lijkenhuisje Kerkstraat 20 02-05-1941;Vrij te gebruiken;02-05-1941;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvulling;B000002717.pdf;2610948;fmt/18;sha256
NL-0784-BV000001532;badkamer in bestande woning Nieuwstraat 63 17-06-1943;Vrij te gebruiken;17-06-1943;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002816.pdf;573135;fmt/18;sha256
NL-0784-BV000001532;badkamer in bestande woning Nieuwstraat 63 17-06-1943;Vrij te gebruiken;17-06-1943;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002817.pdf;8543417;fmt/18;sha256
