DossierId;Naam;Gebruiksrechten_OmschrijvingVoorwaarden;Gebruiksrechten_DatumOfPeriode;Vertrouwelijkheid_ClassificatieNiveau;Vertrouwelijkheid_DatumOfPeriode;Openbaarheid_OmschrijvingBeperkingen;Openbaarheid_DatumOfPeriode;Bestand_Vorm_Redactiegenre;Bestand_Formaat_Bestandsnaam;Bestand_Formaat_BestandsOmvang;Bestand_Formaat_BestandsFormaat;Bestand_Formaat_FysiekeIntegriteit_Algoritme;Bestand_Formaat_FysiekeIntegriteit_Waarde;Bestand_Formaat_FysiekeIntegriteit_DatumEnTijd;Bestand_Formaat_DatumAanmaak
NL-0784-BV000001388;bouwen van een kantoor / woning Vijf Eiken 8 23-03-1939;Vrij te gebruiken;23-03-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000002454.pdf;2431275;fmt/18;sha256;b43ab763b546c1b88539133fd68efa8979f8c546d6a3fc462196c5eada62b6ca;31-7-2015 19:20;20-08-2012
NL-0784-BV000001405;bouwen graanloods en stal Hoogstraat 7 11-07-1939;Vrij te gebruiken;11-07-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002505.pdf;518242;fmt/18;sha256;8f16f459ce82ab065978b97ad1f03ce07f740025065ad195638963107c5e54ad;31-7-2015 19:49;20-08-2012
NL-0784-BV000001405;bouwen graanloods en stal Hoogstraat 7 11-07-1939;Vrij te gebruiken;11-07-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002506.pdf;8244792;fmt/18;sha256;d22d01e79231cbc8a44d09e2e268745f1bf6d850f5338f6e65b1133c2c15dee5;31-7-2015 19:49;20-08-2012
NL-0784-BV000001405;bouwen graanloods en stal Hoogstraat 7 11-07-1939;Vrij te gebruiken;11-07-1939;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000002507.pdf;2234749;fmt/18;sha256;fbf837c2c7c206f4dafd748c064b184583ec2a1178c4d6fe99b5f05b736804b6;31-7-2015 19:49;20-08-2012
NL-0784-BV000001468;bouwen lijkenhuisje Kerkstraat 20 02-05-1941;Vrij te gebruiken;02-05-1941;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002715.pdf;876885;fmt/18;sha256;2844dd8d6f9a256919b2d20443d6b599122b6e2c9ba5c556ba9a42eb6c028330;31-7-2015 20:40;23-08-2012
NL-0784-BV000001468;bouwen lijkenhuisje Kerkstraat 20 02-05-1941;Vrij te gebruiken;02-05-1941;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002716.pdf;1218875;fmt/18;sha256;205b0969fa8d7a37d93dbf6a9f22eefe94444441aadc38ae06ce230387f45131;31-7-2015 20:40;23-08-2012
NL-0784-BV000001468;bouwen lijkenhuisje Kerkstraat 20 02-05-1941;Vrij te gebruiken;02-05-1941;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000002717.pdf;2610948;fmt/18;sha256;1dc6229368d0822a0b5420f81ca0ae31d6ebd527b095f7f58af388c5f58b6c98;31-7-2015 20:40;23-08-2012
NL-0784-BV000001532;badkamer in bestande woning Nieuwstraat 63 17-06-1943;Vrij te gebruiken;17-06-1943;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002816.pdf;573135;fmt/18;sha256;58410d057de254fd5d97b27615efbb363f25d9a6ca2c45b41d5d6595729a5cf2;31-7-2015 21:04;23-08-2012
NL-0784-BV000001532;badkamer in bestande woning Nieuwstraat 63 17-06-1943;Vrij te gebruiken;17-06-1943;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002817.pdf;8543417;fmt/18;sha256;0f8118be92b6269bd73ee208f4f2b9adc4047ddbfb73e46d1520cf3be9edc678;31-7-2015 21:05;23-08-2012
NL-0784-BV000001532;badkamer in bestande woning Nieuwstraat 63 17-06-1943;Vrij te gebruiken;17-06-1943;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000002818.pdf;2470062;fmt/18;sha256;9d275eafc748d2e354294dd2d118ad6be6346bfde9406b82ee7cb86d6517930a;31-7-2015 21:05;23-08-2012
NL-0784-BV000001574;bouwen schuur met noodwoning Mosstraat 8 02-10-1945;Vrij te gebruiken;02-10-1945;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000002943.pdf;638865;fmt/18;sha256;6a496543fa0a9b9b782fae512d69f8ef384ca1724adf960e3741b14952a8d30a;31-7-2015 21:37;23-08-2012
NL-0784-BV000001574;bouwen schuur met noodwoning Mosstraat 8 02-10-1945;Vrij te gebruiken;02-10-1945;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002944.pdf;18045465;fmt/18;sha256;dcafbfc5e95cb51c6e63511e523d9d0495503aa100b9abd96b7487747e287fac;31-7-2015 21:38;23-08-2012
NL-0784-BV000001574;bouwen schuur met noodwoning Mosstraat 8 02-10-1945;Vrij te gebruiken;02-10-1945;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000002945.pdf;10966059;fmt/18;sha256;29864ef7224da823624f58737b4b827cd1af48e39ac1c38d4a6b9d05c3097e2a;31-7-2015 21:38;23-08-2012
NL-0784-BV000001574;bouwen schuur met noodwoning Mosstraat 8 02-10-1945;Vrij te gebruiken;02-10-1945;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000002946.pdf;3122697;fmt/18;sha256;85b332d18b9d77a36bb584bb2b0750c39c3df0af54ff003429fff8bfec5dc895;31-7-2015 21:39;23-08-2012
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000003031.pdf;1106932;fmt/18;sha256;b4a924802bd809316cc670f06a84e58492fd733206abf3fa835fa83ceea7b171;31-7-2015 22:04;20-08-2012
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000003032.pdf;16654984;fmt/18;sha256;e9fda3c61eb7b7693da3018d247651c0acb09ee0bca85d1f2298a537c7bae3ca;31-7-2015 22:04;20-08-2012
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000003033.pdf;1828512;fmt/18;sha256;2527f0e8fb1f369d04b21b48094c1ed750fbdec514a42513fd1b373e59282f47;31-7-2015 22:05;20-08-2012
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000003034.pdf;16412177;fmt/18;sha256;3c9ce4c7c48eea32315f26cb0f737a661c3622f62fc35d024e1c85278066b1c3;31-7-2015 22:05;20-08-2012
NL-0784-BV000001602;herstellen oorlogsschade Hoofdstraat 58 02-07-1946;Vrij te gebruiken;02-07-1946;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000003035.pdf;2580370;fmt/18;sha256;e4e2b749afc31674b46dcfaa88eb813bf48e6fe37e3c921ab82ce910adbda784;31-7-2015 22:05;20-08-2012
NL-0784-BV000001680;herbouwen schuur de Blommers 2 18-09-1947;Vrij te gebruiken;18-09-1947;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000003322.pdf;575281;fmt/18;sha256;a04e07ad05e7869c869b48a63c5a41977584a7ac9a8e494f52ae0148320c3502;1-8-2015 17:17;20-08-2012
NL-0784-BV000001680;herbouwen schuur de Blommers 2 18-09-1947;Vrij te gebruiken;18-09-1947;Niet vertrouwelijk;28-08-2018;Openbaar;;Tekening (technisch);B000003323.pdf;10787613;fmt/18;sha256;63c6f68c32066b75ed8817513025dc9a09859a3050c43d5645db130254c63bd9;1-8-2015 17:17;20-08-2012
NL-0784-BV000001680;herbouwen schuur de Blommers 2 18-09-1947;Vrij te gebruiken;18-09-1947;Niet vertrouwelijk;28-08-2018;Openbaar;;Aanvraag;B000003324.pdf;2331475;fmt/18;sha256;dd44f31d4de4a916cc9fb80d160c9d811cd9e252d14b9dbb3fcde7767257c2d6;1-8-2015 17:17;20-08-2012
NL-0784-BV000012165;bouwen twee zomerhuisjes met garage Rijense Dijk 23-06-1932;Vrij te gebruiken;23-06-1932;Niet vertrouwelijk;28-08-2018;Openbaar;;Vergunning;B000003669.pdf;529099;fmt/18;sha256;eff5f57cac3730272f679077c90655b20b6e807d69d1f8b027bd7e1a83a94ec7;1-8-2015 19:23;20-08-2012
